EXPRSTMT,semicolon,semicolon
EXPR,ASSIGNMENTEXPR,stringliteral plus not minus lparen intliteral identifier floatliteral boolliteral
ASSIGNMENTEXPR,CONDOREXPR SUBASSIGNMENTEXPR,stringliteral plus not minus lparen intliteral identifier floatliteral boolliteral
SUBASSIGNMENTEXPR,assign CONDOREXPR SUBASSIGNMENTEXPR,assign
SUBASSIGNMENTEXPR,,semicolon rparen rbracket rbrace comma
CONDOREXPR,CONDANDEXPR SUBCONDOREXPR,stringliteral plus not minus lparen intliteral identifier floatliteral boolliteral
SUBCONDOREXPR,or CONDANDEXPR SUBCONDOREXPR,or
SUBCONDOREXPR,,semicolon rparen rbracket rbrace comma assign
CONDANDEXPR,EQUALITYEXPR SUBCONDANDEXPR,stringliteral plus not minus lparen intliteral identifier floatliteral boolliteral
SUBCONDANDEXPR,and EQUALITYEXPR SUBCONDANDEXPR,and
SUBCONDANDEXPR,,semicolon rparen rbracket rbrace or comma assign
EQUALITYEXPR,RELEXPR SUBEQUALITYEXPR,stringliteral plus not minus lparen intliteral identifier floatliteral boolliteral
SUBEQUALITYEXPR,eq RELEXPR SUBEQUALITYEXPR,eq
SUBEQUALITYEXPR,neq RELEXPR SUBEQUALITYEXPR,neq
SUBEQUALITYEXPR,,semicolon rparen rbracket rbrace or comma assign and
RELEXPR,ADDITIVEEXPR SUBRELEXPR,stringliteral plus not minus lparen intliteral identifier floatliteral boolliteral
SUBRELEXPR,lt ADDITIVEEXPR SUBRELEXPR,lt
SUBRELEXPR,lte ADDITIVEEXPR SUBRELEXPR,lte
SUBRELEXPR,gt ADDITIVEEXPR SUBRELEXPR,gt
SUBRELEXPR,gte ADDITIVEEXPR SUBRELEXPR,gte
SUBRELEXPR,,semicolon rparen rbracket rbrace or neq eq comma assign and
ADDITIVEEXPR,MULTIPLICATIVEEXPR SUBADDITIVEEXPR,stringliteral plus not minus lparen intliteral identifier floatliteral boolliteral
SUBADDITIVEEXPR,plus MULTIPLICATIVEEXPR SUBADDITIVEEXPR,plus
SUBADDITIVEEXPR,minus MULTIPLICATIVEEXPR SUBADDITIVEEXPR,minus
SUBADDITIVEEXPR,,semicolon rparen rbracket rbrace or neq lte lt gte gt eq comma assign and
MULTIPLICATIVEEXPR,UNARYEXPR SUBMULTIPLICATIVEEXPR,stringliteral plus not minus lparen intliteral identifier floatliteral boolliteral
SUBMULTIPLICATIVEEXPR,star UNARYEXPR SUBMULTIPLICATIVEEXPR,star
SUBMULTIPLICATIVEEXPR,slash UNARYEXPR SUBMULTIPLICATIVEEXPR,slash
SUBMULTIPLICATIVEEXPR,,semicolon rparen rbracket rbrace plus or neq minus lte lt gte gt eq comma assign and
UNARYEXPR,plus UNARYEXPR,plus
UNARYEXPR,minus UNARYEXPR,minus
UNARYEXPR,not UNARYEXPR,not
UNARYEXPR,PRIMARYEXPR,stringliteral lparen intliteral identifier floatliteral boolliteral
PRIMARYEXPR,identifier SUBPRIMARYEXPR,identifier
PRIMARYEXPR,lparen EXPR rparen,lparen
PRIMARYEXPR,intliteral,intliteral
PRIMARYEXPR,floatliteral,floatliteral
PRIMARYEXPR,boolliteral,boolliteral
PRIMARYEXPR,stringliteral,stringliteral
SUBPRIMARYEXPR,ARGLIST,lparen
SUBPRIMARYEXPR,lbracket EXPR rbracket,lbracket
SUBPRIMARYEXPR,,star slash semicolon rparen rbracket rbrace plus or neq minus lte lt gte gt eq comma assign and
PARALIST,lparen PROPERPARALIST rparen,lparen
PROPERPARALIST,PARADECL SUBPROPERPARALIST,void int float boolean
PROPERPARALIST,,rparen
SUBPROPERPARALIST,comma PARADECL SUBPROPERPARALIST,comma
SUBPROPERPARALIST,,rparen
PARADECL,TYPE identifier DECLARATOR,void int float boolean
ARGLIST,lparen PROPERARGLIST rparen,lparen
PROPERARGLIST,ARG SUBPROPERARGLIST,stringliteral plus not minus lparen intliteral identifier floatliteral boolliteral
PROPERARGLIST,,rparen
SUBPROPERARGLIST,comma ARG SUBPROPERARGLIST,comma
SUBPROPERARGLIST,,rparen
ARG,EXPR,stringliteral plus not minus lparen intliteral identifier floatliteral boolliteral
TYPE,boolean,boolean
TYPE,int,int
TYPE,void,void
TYPE,float,float
